OBJECTID,SCHOOL_ID,SCHOOLDIST,POLYTYPE,PRIMARYPOL,USERNAME,UPDATE_,EDITED,EACODE,District2,Inst_ID,SchDist,SEDdir_BOC,SEDdir_B_1,SED_CODE_1,POPULAR_NA,INSTPECD,INSTSUBYPE,INSSUBDE,MUNICODE,SDLCODE,ORPTSCOD_1,Shape__Area,Shape__Length
562,563,COHOES,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,10300,COHOES,8E+11,COHOES,190,BOCES CAPITAL REGION,10500010000,COHOES CITY SD,16,1,CITY,10509000000,10500,10300,11060358.86,18338.00264
563,564,COOPERSTOWN,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,365001,COOPERSTOWN,8E+11,COOPERSTOWN,1990,BOCES OTSEGO-DELAW-SCHOHARIE-GREENE,4.71701E+11,COOPERSTOWN CSD,16,4,CENTRAL,3.60763E+11,471701,365001,274118605,109494.8334
564,565,SHARON SPRINGS,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,434601,SHARON SPRINGS,8E+11,SHARON SPRINGS,190,BOCES CAPITAL REGION,5.41401E+11,SHARON SPRINGS CSD,16,4,CENTRAL,4.30777E+11,541401,434601,7632.375,378.7887506
565,566,EDMESTON,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,362801,EDMESTON,8E+11,EDMESTON,1990,BOCES OTSEGO-DELAW-SCHOHARIE-GREENE,4.70501E+11,EDMESTON CSD,16,4,CENTRAL,3.60726E+11,470501,362801,250589343,120441.7555
566,567,MOHONASEN,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,422803,MOHONASEN,8E+11,MOHONASEN,190,BOCES CAPITAL REGION,5.30515E+11,ROTTERDAM-MOHONASEN CSD,16,7,INDEPENDENT CENTRAL,4.20673E+11,530515,422803,28160190.79,37566.80676
567,568,CANAJOHARIE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,272201,CANAJOHARIE,8E+11,CANAJOHARIE,2090,BOCES HAMILTON-FULTON-MONTGOMERY,2.70301E+11,CANAJOHARIE CSD,16,4,CENTRAL,2.70712E+11,270301,272201,3870.402344,273.3399365
568,569,ATTICA,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,562201,ATTICA,8E+11,ATTICA,2490,BOCES GENESEE VALLEY,6.70201E+11,ATTICA CSD,16,7,INDEPENDENT CENTRAL,5.60604E+11,670201,562201,70595.32092,1113.062308
569,570,NAPLES,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,323801,NAPLES,8E+11,NAPLES,4390,BOCES WAYNE-FINGER LAKES,4.31201E+11,NAPLES CSD,16,4,CENTRAL,3.20756E+11,431201,323801,306143615.9,149178.1773
570,571,SHERBURNE-EARLVILLE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,85601,SHERBURNE EARLVL,8E+11,SHERBURNE EARLVL,1290,BOCES DELAW-CHENANGO-MADISON-OTSEGO,82001040000,SHERBURNE-EARLVILLE CSD,16,4,CENTRAL,80777400100,82001,85601,403743693.9,177935.8772
571,572,HAMBURG,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,144801,HAMBURG,8E+11,HAMBURG,1491,BOCES ERIE 1,1.41601E+11,HAMBURG CSD,16,7,INDEPENDENT CENTRAL,1.40636E+11,141601,144801,70617938.73,84339.61542
572,573,HOPEVALE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,144803,HOPEVALE,8E+11,HOPEVALE,1491,BOCES ERIE 1,1.41603E+11,HOPEVALE UFSD AT HAMBURG,16,8,SPECIAL ACT,1.40936E+11,141604,144803,361039.7298,2436.79145
573,575,HOMER,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,113001,HOMER,8E+11,HOMER,4290,BOCES ONONDAGA-CORTLAND-MADISON,1.10701E+11,HOMER CSD,16,7,INDEPENDENT CENTRAL,1.1064E+11,110701,113001,424786984.8,172078.5751
574,576,BERLIN,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,382001,BERLIN,8E+11,BERLIN,4990,BOCES QUESTAR III (R-C-G),4.90101E+11,BERLIN CSD,16,4,CENTRAL,3.80707E+11,490101,382001,418090038.8,161013.1317
575,577,LANSINGBURGH,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,381701,LANSINGBURGH,8E+11,LANSINGBURGH,4990,BOCES QUESTAR III (R-C-G),4.90601E+11,LANSINGBURGH CSD,16,7,INDEPENDENT CENTRAL,3.80657E+11,490601,381701,35824302.26,33635.2185
576,578,SHARON SPRINGS,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,434601,SHARON SPRINGS,8E+11,SHARON SPRINGS,190,BOCES CAPITAL REGION,5.41401E+11,SHARON SPRINGS CSD,16,4,CENTRAL,4.30777E+11,541401,434601,133618006.9,84501.90109
577,579,DUANESBURG,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,422001,DUANESBURG,8E+11,DUANESBURG,190,BOCES CAPITAL REGION,5.30101E+11,DUANESBURG CSD,16,4,CENTRAL,4.20724E+11,530101,422001,153151771.5,100155.8456
578,580,DE RUYTER,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,252401,DERUYTER,8E+11,DERUYTER,4290,BOCES ONONDAGA-CORTLAND-MADISON,2.50301E+11,DERUYTER CSD,16,4,CENTRAL,2.50723E+11,250301,252401,230298852.7,100377.2281
